observation_name	ADT_ST_ISS_XXX_01	ADT_ST_ISS_XXX_02	ADT_ST_ISS_XXX_03	ADT_ST_ISS_XXX_04	ADT_ST_ISS_XXX_05	ADT_ST_ISS_XXX_06	ADT_ST_ISS_XXX_07	ADT_ST_ISS_XXX_08	ADT_ST_ISS_XXX_09	ADT_ST_ISS_XXX_10	FRT_BL_CAR_UNF_XX	FRT_BL_CAR_UNO_XX	FRT_BL_ISL_UNF_XX	FRT_BL_ISL_UNO_XX	FRT_BL_MAZ_INF_01	FRT_BL_MAZ_INF_02	FRT_BL_MAZ_UNF_01	FRT_BL_MAZ_UNF_02	FRT_BL_MAZ_UNF_03	FRT_BL_MAZ_UNF_04	FRT_ST_ISS_IND_XX	FRT_ST_ISS_INM_XX	FRT_ST_ISS_UNF_01	FRT_ST_ISS_UNF_02	FRT_ST_ISS_UNF_03	FRT_ST_ISS_UNF_04	FRT_ST_ISS_UNF_05	FRT_ST_ISS_UNF_06	FRT_ST_ISS_UNF_XX	FRT_ST_ISS_UNO_XX	FRT_ST_MAZ_UNF_01	FRT_ST_MAZ_UNF_02	FRT_ST_MAZ_UNF_03	FRT_ST_MAZ_UNF_04	FRT_ST_MAZ_UNF_05	LRV_BB_MAZ_XXX_01	LRV_BB_MAZ_XXX_02	LRV_BB_MAZ_XXX_03	LRV_ST_ISS_XXX_01	LRV_ST_ISS_XXX_02	PUC_ST_ISS_XXX_01	PUC_ST_ISS_XXX_02	PUC_ST_ISS_XXX_03	PUC_ST_ISS_XXX_04	PUC_ST_ISS_XXX_05	PUC_ST_ISS_XXX_06	PUC_ST_ISS_XXX_07	PUC_ST_ISS_XXX_08	PUC_ST_ISS_XXX_09	PUC_ST_ISS_XXX_10	PUP_ST_ISS_XXX_01	PUP_ST_ISS_XXX_02	PUP_ST_ISS_XXX_03	PUP_ST_ISS_XXX_04	PUP_ST_ISS_XXX_05	PUP_ST_ISS_XXX_06	PUP_ST_ISS_XXX_07	PUP_ST_ISS_XXX_08	PUP_ST_ISS_XXX_09	PUP_ST_ISS_XXX_10	PUP_ST_ISS_XXX_11	PUP_ST_ISS_XXX_12
Cluster_142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cluster_144	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	15	0	61	1	4	3	42	0	0	0	0	0	1	1
Cluster_145	0	0	0	20	0	0	0	159	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_15	0	2	23	0	0	0	0	0	123	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	260	137	2078	316	0	43	338	2	2194	377	235	982	279	767	869	1970	42	38	32	386	2610	1517
Cluster_150	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	6	0	0	1	0	0	24	0	22	3	96	21	4	2	0	0	0	1	2	0
Cluster_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	42	4	8	0	0	9	1	1	0	0	0	1	1	1	8	0	11	4	11	5	14
Cluster_156	0	0	0	0	0	37	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_16	11	24	4	124	105	168	44	334	26	52	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	175	226	57	2069	1872	1760	2335	2243	56	200	13	55	30	211	45	666	706	936	982	621	916	0
